trial,original_ns,tco_ns,method2_ns,iterative_ns
0,901960,1012585,753209,531052
1,805626,790759,642978,620358
2,735339,765637,730792,559636
3,899231,802580,691795,615068
4,979178,3157332,698727,611754
5,1020866,952448,723689,660134
6,848638,911512,768725,566217
7,891683,991276,618792,547452
8,791637,927315,607887,499041
9,778959,1060672,1028922,1352759
10,727544,788000,571530,493108
11,736979,717374,583628,503971
12,763465,769961,572958,574896
13,721026,735670,821131,816792
14,833249,836008,615172,521053
15,932140,783805,653158,486687
16,888147,874655,727363,559103
17,837413,833282,702572,548188
18,812367,882790,748704,631977
19,777958,804688,713050,556558
20,819693,899425,637258,487859
21,841534,780940,674830,538624
22,681006,716789,569976,511000
23,652019,689803,589730,516079
24,678440,693530,585833,496303
25,760558,754860,576760,504259
26,728226,770568,628302,503332
27,774838,790791,747538,677292
28,1056492,844410,718193,642977
29,842589,884249,685149,644788
30,807435,767394,735914,644522
31,857403,798234,679686,573117
32,848404,794358,657929,547655
33,721432,754764,638207,551883
34,894813,850278,584449,500148
35,706555,737470,570295,494227
36,826423,706884,604161,481043
37,833655,806136,590742,562703
38,704798,717299,591647,885134
39,726660,849980,583607,481266
40,657620,692593,593681,635587
41,708525,875720,568687,487230
42,748864,1220600,663084,613255
43,828756,872962,707363,694646
44,911054,876316,639580,524961
45,880901,1115815,709334,581722
46,751377,831951,673840,559306
47,798459,861663,775659,626450
48,915218,1052467,876390,917263
49,1107343,1249065,556004,475889
50,749780,747895,592798,483503
51,718108,754742,592180,506825
52,747597,773230,635992,517177
53,718961,721900,568358,513705
54,746777,730825,585790,481000
55,722241,746340,581147,492267
56,662540,748992,600145,2177968
57,813782,926666,711006,575971
58,874399,934632,663457,584565
59,786712,844751,644521,560701
60,789257,785881,710846,613478
61,838277,858617,593490,550051
62,762474,754934,703594,568559
63,909883,876753,631028,571658
64,730196,740313,592915,497880
65,746905,757032,576578,493769
66,712507,751079,570317,478221
67,706640,740611,596397,483482
68,815562,826914,571020,518635
69,781440,840960,600401,522011
70,701389,727459,654063,525888
71,723753,773847,724573,654106
72,834432,805530,734530,577676
73,893664,974013,649123,493993
74,872749,803463,647791,538135
75,865677,955312,743922,600497
76,852717,867189,584001,572478
77,812334,780098,675608,618740
78,870832,942811,648408,509488
79,865996,790163,628664,518188
80,720036,719493,567920,483620
81,700665,709387,574598,475804
82,750089,796265,596578,498604
83,781888,863750,639303,568102
84,720558,747757,563320,482747
85,698546,735786,610572,515057
86,764508,814954,683626,641076
87,803506,720505,572702,555227
88,845102,862876,699717,558730
89,744999,965053,649868,613522
90,809448,887317,714104,511265
91,1832817,1374686,681624,580529
92,752517,714828,724254,554311
93,853537,874953,685202,572894
94,883324,776179,565557,491714
95,719291,820822,721559,520467
96,696160,698983,602371,530743
97,740238,764934,567644,490159
98,700942,752986,633627,502150
99,771452,803761,654224,477337
100,735754,854868,673104,553587
101,706479,701410,652413,533778
102,828830,870459,692401,589965
103,791058,827031,1350778,525185
104,831961,861353,982085,630528
105,901129,879650,693764,594938
106,811216,830939,630922,564662
107,707629,762187,772686,556398
108,761505,840769,664574,829607
109,735765,834347,613798,589304
110,788373,951639,602244,588399
111,710963,816392,606354,495441
112,739801,747991,625214,493716
113,736234,840833,677705,497624
114,688696,721559,568581,479019
115,805296,758193,599156,2196584
116,732826,807447,710569,557719
117,847637,910489,612904,491139
118,886241,894878,682188,533992
119,786903,844762,676459,586759
120,828756,897764,669069,496996
121,784294,765871,582403,594353
122,796797,837989,677556,622062
123,955888,787820,565088,486453
124,731804,727481,568773,479393
125,755222,839160,593681,515919
126,796222,734104,570370,483620
127,710410,735329,643595,543587
128,727714,756542,588751,484621
129,712997,726948,550563,488582
130,690644,788682,744892,530552
131,953556,840417,619325,588283
132,859043,1166799,882779,604906
133,762112,859331,747587,588442
134,832526,909723,768704,648813
135,851332,808724,660677,555642
136,773283,862834,722294,608420
137,898445,961703,1499986,728301
138,676384,713966,686864,582010
139,788991,774125,572989,510787
140,684095,738470,561776,469680
141,764817,920266,613447,523480
142,735201,721836,574416,498338
143,784635,805093,581999,513417
144,734956,744797,577718,495761
145,761217,819672,564385,504759
146,692178,725755,602894,479787
147,735946,719185,551478,490031
148,695756,718087,582276,490393
149,758256,785658,568187,508295
150,732017,762846,583820,509892
151,725169,730632,642626,595567
152,787617,850289,755743,554109
153,718290,777628,588272,508028
154,722762,689664,575865,522331
155,757491,826051,595503,509254
156,712465,733040,632232,497262
157,739695,767181,601115,514887
158,722923,738460,558474,478488
159,794252,783581,574854,488828
160,771494,789918,595929,502236
161,708791,725020,574917,474643
162,697321,716383,582564,503439
163,738438,810130,612275,528624
164,767628,772303,587824,487741
165,704031,748023,583394,485623
166,703743,703839,560189,507603
167,694531,787436,621370,491597
168,775424,755148,551638,491490
169,682359,748087,581349,494195
170,689248,690101,586802,482215
171,659622,674319,583255,473439
172,714498,767021,564364,547537
173,757852,708396,567015,477976
174,741431,855156,617536,530019
175,703381,704924,583661,467977
176,720973,766148,578090,505942
177,759652,791771,576696,485004
178,670442,718673,566089,490031
179,765743,892003,654670,540350
180,883579,955025,824848,583468
181,713508,769545,622818,509221
182,828596,889362,896864,2275468
183,855773,920756,652381,553661
184,786936,846274,569571,533352
185,766318,796339,691112,560785
186,728790,897177,574747,536686
187,782612,713657,585481,482790
188,693562,714935,570754,479062
189,709227,733337,722912,534801
190,830247,865666,717225,603638
191,924707,898166,784500,535217
192,937608,826733,716874,579316
193,747161,868829,698343,563235
194,740473,802782,551297,476016
195,732890,731591,639793,530393
196,793974,857520,667236,550860
197,691965,718279,577346,507421
198,711133,761292,602211,512374
199,685522,697268,575823,481649
200,746276,786606,557580,485462
201,687002,714040,584352,503193
202,675618,700633,562766,477390
203,785775,785072,588910,553044
204,803070,995559,613915,496208
205,847946,910011,635735,592479
206,757256,845049,658579,572414
207,768948,815848,724573,621529
208,814901,797479,658941,525750
209,727662,777799,816339,548943
210,780077,917877,699558,573821
211,732634,708396,592392,535759
212,714787,721069,555269,537250
213,735893,775125,631231,567101
214,784306,914249,804209,595971
215,800758,1301886,722614,559635
216,815743,927464,697151,577441
217,772495,885315,649473,542096
218,1009870,961979,628782,587292
219,877488,895900,690527,581935
220,851448,834581,585311,549678
221,762548,976016,588804,476964
222,713221,751069,562309,525696
223,732368,730164,562947,491884
224,740760,721527,568708,473269
225,760919,804582,557122,483599
226,742581,766585,604149,500979
227,703402,724552,586185,508487
228,742294,763155,581808,607047
229,1392130,1647405,894611,548358
230,732070,721143,574609,505569
231,777192,786627,710271,555311
232,759461,828309,701315,533832
233,834953,892830,641103,608732
234,736159,734051,720867,573703
235,850193,853079,650687,616525
236,760344,759076,567996,496356
237,726160,745372,570945,506155
238,669930,708237,595077,511404
239,866071,890586,1045151,579156
240,895743,864825,631710,488710
241,677332,698013,576568,479094
242,740686,799672,633840,573555
243,787074,787563,631721,508327
244,767181,771782,618314,578581
245,842334,874399,707832,492406
246,719056,697342,563011,661720
247,791025,763028,578975,489818
248,731069,741878,581466,493726
249,707630,746426,563224,500830
250,1048783,741879,578166,478508
251,703733,728119,561957,483333
252,789747,872312,589156,483087
253,698737,1116587,641316,591956
254,781110,897156,695905,549125
255,985185,1109208,713657,647959
256,732699,789310,1462846,591370
257,965488,980840,755663,589560
258,771548,921373,651178,546185
259,821280,849150,702284,580657
260,807862,830279,600071,490521
261,730057,752421,608015,492193
262,672679,703945,560871,483002
263,854698,812505,575002,510787
264,767032,792729,597324,497507
265,731527,734307,610092,478029
266,683849,720633,543353,477155
267,810886,805189,639048,616290
268,761600,832473,609890,533214
269,680005,690293,581945,489243
270,697268,760355,576004,482971
271,747671,800204,657567,558368
272,685575,734391,561979,481255
273,661709,702742,797441,967911
274,714637,801824,706469,549060
275,884006,877157,587856,504078
276,923003,914260,707565,537613
277,725723,743763,770280,598527
278,838639,879478,660293,554172
279,774008,781281,600061,588613
280,844560,1093866,1651441,527634
281,693679,775125,569432,492991
282,732879,734914,569017,492927
283,669505,705947,589859,506047
284,730707,788842,936847,588996
285,904989,844549,660708,672785
286,752933,850635,586088,540382
287,767746,935909,698078,567143
288,847221,885283,656992,538060
289,810077,777202,632499,546462
290,793527,880757,749365,537240
291,723870,696139,574577,639132
292,699813,733294,606290,499913
293,717758,715787,558985,532501
294,938029,708684,561947,475771
295,782474,751537,697503,502938
296,700122,755754,576483,492118
297,693019,731186,644138,502821
298,681123,2412954,895424,618665
299,845613,909776,657950,554928
300,803038,900522,775147,545845
301,837276,862855,682359,547623
302,826456,916092,581882,479434
303,727150,999870,584172,496229
304,798320,936549,688877,587612
305,765957,728790,580561,480170
306,759376,798852,581637,541585
307,770791,776957,631902,508571
308,720942,727417,2497311,650538
309,825902,883344,668142,598740
310,760589,902311,639623,616226
311,808203,803613,789651,608473
312,833271,899382,699941,608644
313,775701,770301,574076,513077
314,839789,899032,723540,562554
315,764593,703179,570274,486058
316,791611,774050,563533,500148
317,704222,701677,576685,486773
318,790705,1052435,970500,634948
319,802175,831791,659835,606940
320,816264,896496,741750,625534
321,840566,858926,660474,553214
322,842919,864676,669739,560104
323,714488,746798,651134,548997
324,835720,852419,699749,541989
325,816354,742656,570264,618266
326,801792,771537,587175,506687
327,649921,683221,582063,478221
328,679526,697161,569944,479808
329,738971,783560,584480,494430
330,719355,739343,575535,484366
331,699855,724946,576866,526303
332,679611,770194,642061,523172
333,827148,887402,794784,580913
334,869351,882652,661145,488337
335,776148,813953,639835,586312
336,835550,909936,687450,568527
337,806594,875975,688375,581232
338,826625,865347,663574,568304
339,909947,979815,618271,490990
340,716894,738427,578399,493279
341,854037,849256,611882,517666
342,674372,739333,591328,503758
343,707694,730739,569103,817787
344,730057,733348,586525,529189
345,857019,807393,568080,507517
346,794039,915538,576738,549891
347,938106,1619674,722017,617599
348,905367,943353,755392,603682
349,806946,830523,682891,607483
350,848319,933951,703700,586472
351,809970,853494,650474,511319
352,808469,773624,1615590,667865
353,856913,911065,744413,678770
354,914536,1044075,715393,557707
355,747214,900543,717182,534652
356,822622,755073,920776,580125
357,747118,742698,655884,505973
358,744998,732645,574597,491937
359,799928,973704,707172,626716
360,825615,831365,604204,482832
361,856178,967571,805348,570220
362,826530,853825,767042,537826
363,967837,854676,629122,573916
364,883398,1053234,777831,720973
365,983108,1071263,751888,692987
366,943524,794358,589613,494163
367,734573,920467,691293,536346
368,799949,800343,645491,491469
369,704626,822377,681112,515281
370,691134,734733,586866,535046
371,738087,728524,561009,486154
372,749855,753294,584949,491927
373,710143,737959,553011,475953
374,743284,775392,615235,512118
375,780056,811344,594012,633265
376,831014,754679,555194,483290
377,690410,723912,584683,532192
378,712742,729909,594033,499871
379,819171,824666,587973,544215
380,688205,713967,597068,661768
381,831216,860800,574875,575897
382,956559,886550,765462,580071
383,833529,813314,756106,671997
384,824964,897338,747607,597696
385,799002,843027,787511,692505
386,756425,847498,631849,536505
387,795402,941362,718567,1177419
388,862270,829107,602403,530818
389,769417,833314,577239,499221
390,780982,754923,569720,489360
391,677865,742933,573671,485984
392,715713,756031,612734,527016
393,747533,920979,585769,522959
394,748214,787000,586930,496016
395,756212,771984,630187,526963
396,938774,995483,712645,603074
397,987394,809107,571105,549913
398,711378,907093,740627,545855
399,869457,845731,665511,555354
400,746777,755765,672295,571105
401,759621,809171,725318,577963
402,786829,846263,680549,542575
403,876026,719195,556962,516260
404,723136,741016,632498,482342
405,729674,679814,547581,480926
406,746756,831620,623947,501724
407,1108696,703093,594278,474973
408,765818,828734,667247,539466
409,806828,834272,609219,662434
410,704542,693477,645888,537102
411,831373,936464,727022,612254
412,801025,912300,689771,652903
413,800716,789023,678706,535845
414,820609,860427,676065,602318
415,999830,905112,644032,492247
416,810823,767363,589943,1355358
417,872743,826572,640443,545738
418,790945,734860,584459,495707
419,750845,828851,565609,486485
420,676310,692668,702465,483535
421,713764,777650,587004,525717
422,688524,734051,580338,495771
423,718737,728194,590050,494014
424,700069,740100,593884,489957
425,755935,781633,624671,535185
426,795168,792335,807156,598283
427,813464,859511,752730,504557
428,782612,764775,659846,542053
429,872184,906922,654862,648749
430,779087,870619,661486,526026
431,742272,806967,591157,496101
432,903248,885336,720249,551830
433,776904,701187,568411,483333
434,696214,761175,580157,481948
435,725020,748513,581978,480883
436,698365,714211,577548,487155
437,768012,875780,967752,506367
438,794113,834293,605002,528103
439,731772,758640,562425,493268
440,861161,775434,576387,498178
441,824361,773773,594384,496123
442,682998,708556,582979,495590
443,713614,721357,591040,521596
444,694595,725872,557548,477444
445,745829,761622,595535,501543
446,810939,936250,630091,576418
447,747682,767500,596898,493897
448,694446,714509,570477,485260
449,757288,851503,620741,489733
450,709387,743253,575684,487294
451,707438,799541,611008,543469
452,711218,736787,589859,485835
453,787053,789492,580828,499211
454,728396,916794,1111915,560882
455,911534,843515,691059,557719
456,992390,1068098,831013,660501
457,863217,840949,656342,593756
458,860331,873036,660197,634607
459,903227,896156,718684,629506
460,760057,789694,673296,572617
461,846913,900352,623085,650524
462,668291,791419,593586,469201
463,716245,728502,578666,522639
464,691283,776244,603329,476081
465,763103,740802,602935,490063
466,1158014,798160,608292,574576
467,796083,918945,724008,611838
468,815540,815976,819355,514834
469,850268,856285,678451,587398
470,730995,833708,697577,634628
471,784071,800471,634394,557687
472,735297,716287,735627,554247
473,717289,823687,700931,598771
474,844868,961298,634427,481927
475,719536,751921,581179,486943
476,777348,732273,637749,496389
477,711335,732283,570093,557090
478,1446881,827137,675064,622414
479,833526,882046,742714,546845
480,1109777,1018080,632243,586035
481,765169,811993,650422,571573
482,812143,767873,603446,477295
483,858329,882226,781217,659878
484,778416,960815,901813,510957
485,727874,727608,574864,528082
486,662583,675426,565418,481948
487,807724,785594,570178,510957
488,809619,858947,558507,474791
489,748853,750493,579443,505590
490,704414,742081,594991,504525
491,745808,748747,909699,558368
492,766361,1130442,697641,910994
493,952959,907475,720708,717691
494,775935,873579,660496,592084
495,930127,852983,679792,593810
496,783932,856104,691900,578517
497,1189439,1210294,757458,686235
498,841727,953595,577963,555077
499,734871,750281,583735,540094
500,736574,756404,594682,565589
501,761303,746202,578868,487252
502,723454,724999,1003374,487166
503,743710,759311,591179,489403
504,727310,744987,587430,489594
505,721687,913397,575429,505281
506,822515,1168694,662061,493588
507,817094,848372,658824,618537
508,850491,949935,756926,586759
509,823857,880672,639729,554790
510,786147,818767,681997,560391
511,785689,751473,663627,573650
512,780546,930840,881992,1079677
513,815678,817456,571542,510425
514,703061,743423,673818,527878
515,776212,729258,566238,545301
516,642083,736809,649313,571041
517,868734,1357455,784372,673131
518,771142,814464,624309,569273
519,854186,1086013,1219961,604539
520,804912,879330,771058,700356
521,730015,729258,571563,635108
522,740291,812963,702103,587622
523,856124,859319,706107,558773
524,713754,872865,687265,516313
525,764678,716745,587121,511575
526,701911,762943,558390,474675
527,761260,772069,614959,510957
528,1127631,727555,555280,515334
529,709270,869352,577314,491213
530,2123148,1008879,1042254,625129
531,872898,950787,621572,527985
532,769747,874271,659516,503662
533,718961,728630,606163,565003
534,724840,747575,619857,506165
535,729866,1061115,758321,612847
536,870171,942931,714233,608409
537,897561,808181,592872,493843
538,710728,775637,583948,495973
539,696587,704265,572787,496485
540,771249,818107,583033,511372
541,711858,698802,556983,494301
542,747607,786904,547975,476123
543,734604,795434,882788,485079
544,829149,712220,591392,502416
545,678110,1181431,680836,643563
546,947262,1025726,754593,604937
547,783656,856008,606141,656281
548,989815,1559804,1256477,527080
549,807894,769503,571701,527070
550,682199,819970,683551,527123
551,849192,866390,745840,596812
552,1112708,909712,676907,529551
553,732709,802696,609677,569028
554,686246,787788,571787,490585
555,738183,731613,644053,539902
556,796254,729131,565641,887391
557,711783,761750,565652,501703
558,735105,794784,762772,514940
559,723082,706842,565109,806009
560,840970,1361680,662349,628867
561,749950,782091,697630,656726
562,813112,863419,663200,508667
563,782910,785732,713460,542756
564,908382,1093883,1054719,665309
565,803154,824805,578283,535387
566,941629,977634,653861,579220
567,849618,831024,734317,564183
568,896262,792995,611264,608591
569,969711,941522,686161,600668
570,883046,867701,662711,624181
571,752794,766148,567750,493215
572,767895,796211,578474,491628
573,723689,771643,633265,551574
574,823804,833761,661103,658015
575,920324,895538,672817,570711
576,853814,829555,588410,590806
577,816253,869426,677981,594374
578,786275,827276,707694,536378
579,688493,810098,593713,484217
580,843985,846551,715063,555429
581,1350658,708620,564226,492225
582,708482,767565,712187,510297
583,715648,713519,614916,497091
584,685724,804007,613351,677247
585,726798,1280939,719813,993334
586,848089,820066,558230,517528
587,775232,891481,665363,632179
588,887007,928966,656577,615662
589,756553,819779,622542,546111
590,714520,724466,593330,651688
591,842345,887743,642817,495409
592,677896,735137,571840,468050
593,709270,886826,792122,520190
594,691368,712997,594289,549359
595,813048,837574,689366,543544
596,810556,882801,627376,557974
597,845347,994095,809118,706605
598,806445,818841,599219,579571
599,764593,701144,612222,529987
600,695341,850331,640219,505110
601,759971,841098,819022,572458
602,808053,793368,580817,480990
603,693913,734232,569667,520052
604,680442,701347,596205,481831
605,709110,731420,572244,482960
606,746756,848170,624458,561531
607,751090,805668,574001,495516
608,730547,743433,606301,484632
609,807691,884580,732429,618334
610,1253230,855167,637163,578399
611,838309,889213,664414,638952
612,815168,827339,806158,591466
613,777277,852535,691784,570902
614,828063,988848,695074,643211
615,776265,841258,657982,560807
616,771984,746692,731208,496825
617,835081,718162,595598,486815
618,733636,791142,656865,506548
619,739961,812079,619592,566185
620,708514,709184,580157,489967
621,762559,787191,593192,563309
622,770440,705159,560988,495803
623,708163,776009,602424,567325
624,747543,770568,676352,567356
625,795146,807169,666949,542203
626,766414,773262,710314,607419
627,942427,855092,672562,612116
628,785647,896230,681251,560509
629,729056,814699,661155,581573
630,891725,960659,702582,661869
631,794124,761133,578687,506218
632,686097,685735,614586,470841
633,673531,706842,568293,478892
634,722581,733103,600614,482151
635,837915,889479,597206,548751
636,679569,705862,597057,486293
637,691645,682561,583830,490361
638,723796,771547,574097,476591
639,721070,828053,648633,564396
640,752304,906954,1047397,748151
641,890373,926496,629708,649824
642,693147,729514,592691,512235
643,729184,805924,720025,532011
644,831386,822632,662370,501724
645,803411,825228,670900,593649
646,826381,840928,814135,679175
