trial,original_ns,tco_ns,method2_ns,iterative_ns
989,9323119,9730648,8559990,7019984
990,9255614,9344995,8442326,6908361
991,8899859,8992887,8384545,6837666
992,9941216,10197172,8807335,7335930
993,9441598,9559054,8414182,7041118
994,9305338,9501186,8607217,7066224
995,10427865,10679445,8833899,7441979
996,10328014,10598137,8920833,7483753
997,9527229,9735108,8497053,7104351
998,9330079,9773965,8624562,7195451
999,10914722,11217295,9325652,7898000
