trial,original_ns,tco_ns,method2_ns,iterative_ns
0,5171345,5035252,4009272,3267913
1,5440738,5383149,4086289,3356618
2,4640133,4527128,3857170,3063718
3,4697002,4590596,3768513,3067653
4,5157317,5052843,3899554,3217620
5,5173338,5081980,4096477,3333146
6,4990646,4887313,3872722,3147011
7,4816452,4683442,3981347,3192684
8,5446282,5388285,4156623,3444951
9,5261095,5159465,4017732,3368294
10,4874773,4759439,3899674,3181764
11,5095732,4985150,3963983,3222204
12,4990838,4894453,4082689,3330962
13,5224182,5129993,4044132,3302113
14,4574108,4539031,3916367,3106282
15,4797623,4677453,3960527,3214248
16,4761911,4673422,3887038,3127931
17,4654437,4536668,3781844,3057598
18,4978190,4872817,3825825,3113387
19,5451549,5331331,4084225,3346550
20,4829040,4719227,3858466,3116279
21,4611177,4507267,3824049,3089314
22,5265330,5158697,4054249,3315361
23,4646061,4538096,3935554,3064798
24,4905661,4808400,3983591,3187104
25,4640289,4511215,3852190,3084310
26,5022255,4928977,4026133,3281785
27,4595133,4485667,3827241,3018525
28,5123380,5006691,3995952,3230460
29,4659009,4544672,3807357,3059266
30,5098492,5030751,4062384,3314954
31,4860241,4714067,3934126,3176856
32,4632345,4504256,3828610,3037690
33,4858393,4750438,3841318,3131998
34,4692563,4576868,3811617,3045273
35,4923026,4841316,3966611,3213240
36,4991762,4875313,4009332,3265045
37,4731922,4820640,3834850,3036141
38,4601505,4494439,3913222,3126287
39,5176781,5063116,4094617,3355214
40,4878025,4752611,4016928,3243684
41,4833228,4718566,3847125,3106558
42,4911277,4802004,3852394,3143123
43,5027931,4919725,3937871,3197760
44,4676817,4567016,3881506,3103210
45,4635334,4583660,3852849,3104675
46,4750859,4643566,3857697,3128999
47,4873801,4758275,3799485,3111082
48,4858273,4750631,3889510,3147203
49,4744798,4645018,3840046,3091858
50,4720606,4629537,4369434,3639571
51,5014407,4682002,3844822,3181871
52,4752047,4648870,3951683,3214068
53,4970090,4876524,3864238,3154211
54,4965710,4848768,4013364,3256801
55,5155025,5066127,4082989,3327338
56,4626213,4490707,3797985,3038290
57,4965650,5241078,3929543,3215856
58,4984922,4897549,3938915,3196404
59,4791311,4694638,3912047,3165695
60,4685733,4580037,3892102,3081658
61,5071599,4969178,3874930,3151727
62,5113540,5002743,3910114,3217980
63,4518271,4410617,3970079,3165299
64,5109112,5001255,4054800,3289453
65,4922102,4794455,3899314,3139043
66,4829136,4726571,3992819,3223620
67,4520551,4522052,3875794,3095627
68,4762127,4663306,3805880,3045814
69,4689406,4559684,3875290,3096046
70,4626189,4496623,3906694,3129503
71,4875000,4769916,3950866,3164879
72,4742026,4629909,3830289,3065962
73,4697038,4611273,3872518,3115570
74,4785599,4689730,3882970,3164735
75,5032131,4937246,3961499,3442527
76,4778663,4667350,3903298,3129239
77,5097676,4996682,4122350,3341306
78,5000498,4904629,4131194,3323929
79,4890649,4760687,3876934,3163847
80,4731982,4622001,3940523,3088546
81,4885273,4654750,3875434,3133319
82,4998243,4885681,3920470,3185316
83,4728730,4620309,3827385,3079654
84,4570352,4460623,3855645,3097967
85,5154077,5079064,4037376,3250933
86,5283630,5197890,4130149,3429531
87,4884901,4777679,3850174,3120467
88,4667626,4559108,3909982,3125038
89,4537748,4416822,3824817,3060657
90,4971662,4866072,3902099,3154727
91,4786343,4672882,3830397,3072981
92,5111596,5008935,4045092,3287713
93,4794672,4718854,4014912,3152855
94,4683490,4567820,3840357,3067354
95,4654486,4566500,3890638,3090370
96,4695262,4582772,3774501,3052462
97,5046855,4954850,4073245,3338413
98,5163269,5003487,4027836,3310286
99,4899025,4781411,4099057,3308174
100,4684918,4572080,3830217,3078430
101,4632694,4513423,3944555,3125050
102,5320316,5222657,3983243,3289849
103,4687090,4575044,3808353,3030441
104,4523624,4434822,3893110,3045117
105,4999047,4906777,3934883,3200820
106,4785599,4729475,4290076,3468255
107,4862616,4753799,3891514,3132911
108,4658302,4542236,3845949,3081838
109,4920734,4815480,3890494,3159107
110,4828920,4681822,3857590,3118798
111,4913258,4773659,3962483,3184331
112,4958390,4855813,4073509,3343634
113,5124676,4996310,3857337,3156935
114,4801296,4693858,3845985,3120311
115,5079267,4977135,3878110,3167699
116,4807356,4719011,4022952,3295345
117,4879597,4767935,3910906,3234433
118,4771835,4685854,3961103,3240012
119,4836132,4929830,4018164,3234792
120,4700398,4564412,3806901,3031389
121,5157737,5001471,4055016,3277525
122,4861081,4738919,3910642,3149327
123,4784915,4669606,3874462,3135551
124,4775028,4676350,3894611,3140830
125,4846261,4741715,3940931,3174311
126,5458630,5361680,4054381,3379791
127,4974338,4880773,4051356,3267889
128,4832028,4721110,3949859,3190716
129,5300023,5175281,4017624,3270061
130,4649565,4546592,3905914,3096262
131,4769387,4662010,3964331,3159275
132,4820676,4699726,3925739,3215700
133,4869985,4778291,4004424,3223272
134,4835676,4771619,3908326,3155723
135,5068839,4974566,3957803,3259429
136,4850388,4752923,3878386,3139475
137,4853676,4747775,3869002,3112042
138,4899841,4829124,3990852,3213936
139,4761863,4655241,3891346,3103330
140,4982595,4873524,3962999,3250405
141,4874856,4753343,3917291,3139834
142,4910857,4803263,4016004,3260388
143,4839301,4759403,4146242,3369855
144,4910389,4797719,3901631,3132178
145,4746299,4629297,3834381,3061485
146,4734203,4614189,3852129,3092939
147,4946029,4833816,3838102,3117946
148,5125193,5048356,4117129,3410967
149,4933958,4818072,3822933,3116567
150,4811375,4704311,3967331,3208572
151,4648833,4531724,3794192,3051118
152,4775723,4662394,3891310,3168023
153,4740935,4626501,3797624,3077206
154,4650609,4564088,3999468,3096694
155,4913006,4804344,3834081,3143603
156,4919318,4823940,3961211,3232848
157,4647453,4549364,3851109,3073606
158,5387012,5298763,4217715,3480604
159,4767203,4682074,3939455,3139379
160,4830228,4720138,3917014,3147443
161,4737442,4622409,3891082,3124739
162,4810536,4714055,4053384,3256501
163,4845504,4739567,3831838,3108083
164,5004170,4883125,3974291,3187656
165,5486830,5058856,4051980,3315242
166,4629105,4516184,3932338,3121331
167,4649685,4541972,3880353,3110555
168,4914602,4809576,3928019,3187895
169,4670181,4569308,3861081,3109511
170,5214702,5143097,4082545,3337394
171,4795055,4692130,3883918,3158387
172,4539788,4440882,3863230,3017912
173,5066667,4963574,3952751,3250957
174,4829772,4712458,3816585,3090418
175,4955138,4859580,4027800,3265465
176,4595408,4491415,3928091,3133690
177,4654606,4545836,3851925,3069298
178,5029023,4928845,3994092,3236940
179,4965950,4864213,3978647,3263881
180,4805760,4713190,3923939,3152159
181,4608080,4507124,3910402,3160511
182,5021559,4922882,4022028,3244836
183,4945382,4838964,3863685,3125843
184,4878433,4756619,3964439,3139799
185,4805471,4707743,3917470,3146279
186,4684498,4566585,3926051,3071374
187,4714654,4606161,3953699,3110074
188,4764191,4661050,3855153,3073450
189,4944134,4845168,3924394,3208632
190,4792680,4670026,3897598,3116734
191,4735090,4625756,3890351,3102551
192,4892137,4798607,4004256,3214296
193,4971494,4881709,4029432,3296821
194,4780931,4678942,3983063,3192060
195,4708474,4604577,3973380,3206423
196,4801715,4692802,3812517,3100139
197,4759619,4659226,3954863,3127247
198,4899181,4835412,3902866,3130775
