trial,original_ns,tco_ns,method2_ns,iterative_ns
0,3627076,3746147,3309867,2667113
1,3881469,3965069,3240383,2561690
2,3408155,3555874,3187046,2500435
3,3605826,3847561,3260176,2615392
4,3679111,3926473,3367840,2659717
5,3653328,3842717,3184806,2518093
6,3720416,3927410,3317576,2581014
7,3702446,3866469,3322159,2635861
8,3434876,3582907,3179024,2462151
9,3683279,3850009,3370132,2617579
10,3283355,3499360,3336432,2596848
11,3584626,3721198,3215954,2514863
12,3728386,3968819,3293147,2614923
13,3583480,3720469,3328306,2570804
14,4782887,3807819,3258613,2539136
15,4129507,4539120,3610201,2947967
16,3843655,4153676,3311534,2634247
17,3756252,4075024,3436178,2743890
18,3622702,3859541,3340337,2666020
19,3379455,3479983,3258509,2469443
20,3529101,3679736,3250644,2500279
21,4086740,4389778,3452214,2761178
22,3683584,3892713,3376689,2653774
23,3708638,3969802,3469976,2744666
24,3469403,3485185,3270119,2486158
25,3668999,3852346,3266159,2589291
26,3417108,3591546,3241940,2544079
27,3390804,3554409,3173185,2454646
28,3524667,3647228,3213917,2485950
29,3666291,3995481,3397419,2725029
30,3544512,3830885,3389606,2695392
31,3570191,3766194,3206364,2570123
32,3993032,4276958,3424921,2735290
33,3826614,3959489,3374084,2576946
34,3661395,3833126,3361739,2648826
35,3652853,3790467,3344082,2641325
36,3552012,3767288,3390335,2661483
37,3437474,3658582,3288401,2628720
38,3559670,3706555,3353822,2636325
39,3588421,3706503,3241887,2504858
40,3831875,4001419,3335644,2629971
41,3562118,3670562,3166414,2457980
42,3446120,3631289,3247565,2519651
43,3895994,4251175,3465132,2831130
44,4141740,4382485,3657801,2911865
45,3694366,3870889,3281473,2587885
46,3851668,4098404,3318143,2644087
47,3539564,3720410,3441016,2670754
48,3621652,3885109,3541700,2759355
49,3592380,3824792,3331425,2629294
50,3521385,3676917,3242668,2533193
51,3455235,5169363,3273661,2544236
52,3842345,4060537,3366322,2641325
53,3982928,4246435,3308559,2648566
54,4314981,4729905,3570920,2841808
55,3819635,4009179,3348457,2662004
56,3401013,3518677,3289859,2539600
57,3731296,3985844,3438515,2761542
58,3431953,3639356,3432310,2632205
59,3370640,3560392,3214692,2486050
60,3677900,3848224,3329492,2578036
61,3502420,3847182,3476324,2747629
62,3680660,3789886,3336210,2588869
63,3811762,4045112,3252455,2565690
64,3690192,3861245,3386996,2609495
65,3769000,4012401,3332460,2654447
66,3680244,3916093,3319594,2605537
67,3519869,3621073,3117342,2441776
68,3381266,3493512,3298604,2533345
69,3961720,4350601,3521379,2841646
70,3488616,3799158,3413091,2715909
71,3691025,4014225,3336314,2665749
72,3628262,3770979,3300114,2572358
73,3600343,3865829,3302094,2615851
74,3501117,3674306,3219432,2538918
75,3721549,4016152,3358087,2683042
76,3786448,4029382,3385016,2667780
77,3479814,3598259,3297406,2579025
78,3754311,4009381,3352253,2670541
79,4132930,4470817,3579768,2877014
80,3497783,3768844,3391057,2644498
81,3529609,3663160,3302093,2516052
82,3586019,3758010,3273290,2575848
83,3566642,3815461,3231516,2526418
84,3652950,3824212,3435748,2741744
85,3394027,3581852,3256726,2513760
86,3544141,3679722,3272925,2556940
87,3615604,3791814,3234329,2541730
88,3394340,3516327,3267717,3110674
89,3604249,3776708,3196566,2480008
90,3422466,3625448,3375276,2654655
91,3769677,3675608,3239433,2543762
92,3599769,3753113,3250840,2515063
93,3445749,3647534,3148594,2481674
94,3617635,3879632,3526901,2794820
95,3290999,3518983,3332617,2625955
96,3788057,4119849,3458035,2751167
97,5097412,5768184,3970933,3307297
98,3485120,3608983,3330944,2578396
99,4092763,4426900,3431210,2738354
100,3448555,3571585,3218229,2472659
101,3548041,3725552,3280992,2570009
102,3386104,3511372,3158225,2479899
103,3326047,3467828,3310109,2555373
104,3623046,3925722,3387354,2721998
105,3370738,3616483,3313182,2592615
106,3489339,3604504,3341569,2526569
107,3496423,3694353,3220624,2478649
108,3815663,4166675,3457098,2680954
109,3562365,3717114,3318287,2656005
110,3505069,3582470,3145672,2457763
111,3692060,3908585,3309067,2679131
112,3536478,3851290,3415168,2723613
113,3685133,3960099,3423815,2724707
114,3731646,3906970,3290264,2611054
115,3525904,3848581,3215728,2525579
116,3975152,4106410,3446420,2752937
117,3549708,3729094,3375530,2602720
118,3628046,3783682,3252918,2556363
119,3548718,3805766,3265575,2624596
120,3762273,3901501,3368342,2643295
121,3618098,3749617,3153433,2498442
122,3779827,3933639,3313286,2627044
123,3780452,3938743,3193851,2504120
124,3270680,3453035,3107127,2447241
125,3612733,3947286,3485954,2822474
126,3338913,5069545,3349383,2424167
127,3431628,3652840,3279430,2611366
128,3725761,3996038,4459349,2671682
129,3538562,3741960,3332350,2666786
130,3559448,3698207,3203071,2476722
131,3935618,4220532,3370738,2676527
132,3575908,3816653,3333809,2631941
133,3637422,3791487,3191450,2549118
134,3623509,3926184,3406829,2677616
135,3765653,4007334,3348700,2648030
136,3581319,3636165,3217546,2543910
137,3607882,3728463,3314634,2653448
138,3707212,4042961,3451831,2791790
139,3894619,4089684,3406515,2668501
140,3500897,3667522,3182804,2497813
141,3502355,3690023,3252235,2548025
142,3752319,3934257,3299634,2604955
143,3519856,3768934,3243016,2575474
144,3579183,3755704,3228900,2493698
145,3441205,3651479,3290050,2570942
146,3774559,3951654,3284372,2568547
147,3947643,4305895,3494490,2803874
148,3648771,3857637,3223900,2580995
149,3464020,3734817,3425111,2709545
150,3929778,3927694,3311354,2580057
151,3495792,3846700,3304218,2674178
152,3904984,4102549,3268069,2615632
153,3522044,3677731,3177959,2547660
154,3497928,3713306,3392713,2661938
155,3624602,3775445,3288852,2597506
156,3889671,4160261,3497303,2768403
157,3912485,4387879,3673408,3002844
158,3412402,3797530,3442091,2653292
159,3765913,3973947,3414953,2698295
160,3458550,3601841,3296978,2574276
161,3438601,3686690,3296144,2614226
162,3752267,3997750,3376983,2627560
163,3737213,3802165,3254111,2691107
164,3467457,3757944,3405526,2632509
165,3665178,3836491,3206399,2565526
166,5472583,3627103,3322031,2534430
