trial,original_ns,tco_ns,method2_ns,iterative_ns
181,2120540,2178801,1729574,1361012
182,2116975,2159648,1699957,1338248
183,2016834,2053302,1720274,1340636
184,2102047,2159312,1754811,1414713
185,2185772,2261421,1723897,1382672
186,2066755,2120300,1731962,1369556
187,2095100,2153024,1728818,1369689
188,2302894,2430084,1828612,1485071
189,2237325,2318986,1780250,1432269
190,2241945,2318974,1723405,1387665
191,2085799,2112751,1713817,1312496
192,2166200,2228818,1745042,1375964
193,1962881,2022990,1749866,1362212
194,2247417,2341403,1791315,1411738
195,2174444,2262622,1828780,1442962
196,2020554,2050230,1769438,1367564
197,2231949,2318506,1833027,1425417
198,2250190,2197040,1779183,1386321
199,2069503,2137459,1807407,1396209
200,2036238,2104219,1766390,1386680
201,2035423,2029375,1736126,1375256
202,2092099,2190141,1872064,1485910
203,2013306,2048659,1739618,1324832
204,2069983,2151356,1751354,1396317
205,2011434,2071591,1727174,1410478
206,2238969,2246098,1793523,1379205
207,2252205,2349635,1803987,1460158
208,2080807,2215845,1895513,1541327
209,1973429,1998677,1723346,1297279
210,2051082,2096671,1778354,1372088
211,2256825,2328503,1763043,1396437
212,2113712,2148945,1717874,1349648
213,2186912,2248965,1735742,1371417
214,1975470,2003850,1766294,1346384
215,2058763,2089879,1726634,1309016
216,2038891,2069047,1722829,1330160
217,1919873,1941449,1709929,1309615
218,2126083,2165480,1734026,1339652
219,2026782,2070763,1747514,1365992
220,2135876,2189864,1771802,1362380
221,2063983,2119400,1770650,1379913
222,2241826,2384076,1841847,1519654
223,2243481,2318950,1727521,1397889
224,2061979,2133967,1767902,1395165
225,2094511,2159348,1703089,1366244
226,2325215,2230869,1834996,1442230
227,2163525,2204949,1716169,1336976
228,2086975,2144984,1729610,1402772
229,1993974,2051215,1736498,1344440
230,2189721,2268489,1854520,1486486
231,2076847,2084347,1756034,1334768
232,2142500,2211584,1756502,1389405
233,2048766,2082787,1712773,1338512
234,2085247,2136500,1737326,1342364
235,1954721,1997861,1761254,1359308
236,2104796,2220417,1942889,1514494
237,2163057,2201337,1710458,1342292
238,2057155,2131688,1815195,1425741
239,2303194,2368655,1739606,1408665
240,2215029,2285194,1818315,1409661
241,2299523,2403419,1854904,1497107
242,2022030,2081215,1778283,1368765
243,2136212,2203965,1757774,1394048
244,2251185,2342771,1799295,1413705
245,2028450,2064811,1715378,1340996
246,1992726,2034367,1754678,1355420
247,2151069,2237950,1826559,1419765
248,2008554,2061535,1718689,1340156
249,1978326,2027695,1746830,1363208
250,2144216,2210169,1717573,1367900
251,2086843,2139932,1764554,1362740
252,2042899,2123636,1805295,1417761
253,2082943,2161652,1756418,1397109
254,2044974,2089759,1750106,1383237
255,2014482,2046894,1722074,1343012
256,2109224,2195685,1780370,1406241
257,2043703,2077159,1747970,1329272
258,2097883,2146245,1778871,1372845
259,2012922,2048430,1726934,1361805
260,2212197,2288614,1794398,1427613
261,2050686,2085367,1734818,1330124
262,2167149,2272678,1715317,1376648
263,2204121,2300278,1799175,1448649
264,2127284,2236270,1842916,1486006
265,2233197,2324339,1790630,1442698
266,2452956,2581250,1844356,1449862
267,1999410,2022678,1739750,1325048
268,2047171,2077027,1763594,1362140
269,2032903,2069179,1749866,1333016
270,2100704,2192109,1776710,1449537
271,2206568,2343407,1822275,1485430
272,2121715,2189949,1738334,1390628
273,1913164,1969373,1750970,1367373
274,2152256,2188257,1719686,1344356
275,2232801,2309470,1822335,1433530
276,2083471,2169044,1799510,1432137
277,2066995,2102731,1695205,1303615
278,2139511,2195241,1728938,1364288
279,2202717,2272858,1872280,1476826
280,1964033,2002974,1773134,1333364
281,1982394,1998438,1737002,1302440
282,1984889,2013054,1736534,1309964
283,2104927,2144804,1716661,1336916
284,2041147,2113028,1797531,1399653
285,2235285,2296690,1763246,1392105
286,2059603,2117335,1731758,1377477
287,2341919,2431632,1857880,1473586
288,2251161,2311055,1768682,1401621
289,1960709,2021334,1777346,1379948
290,2202273,2253982,1717670,1370420
291,2072047,2133224,1765214,1393653
292,2020518,2067823,1725590,1348424
293,2027694,2095004,1742738,1363652
294,2104999,2133020,1754534,1378748
295,2002709,2035362,1743230,1339616
296,2017134,2056999,1744202,1341332
297,1946741,1969362,1695361,1311980
298,2049546,2093071,1701685,1316215
299,2471749,2600642,1892380,1544207
300,2142068,2220249,1808967,1414785
301,2038806,2085416,1715114,1362500
302,2012466,2056147,1782183,1348316
303,2103211,2152149,1687849,1331480
304,2287234,2438496,1800003,1451878
305,2326762,2449164,1852084,1502266
306,2034918,2080807,1748642,1366544
307,2038206,2100583,1769246,1397553
308,2016222,2068999,1710121,1340036
309,2124656,2157956,1747238,1382324
310,2073042,2149364,1756994,1397217
311,2131940,2206605,1825083,1411941
312,2448685,2598423,1924312,1577027
313,2066670,2129492,1744934,1347236
314,2008974,2058966,1798755,1393317
315,2124968,2197448,1788327,1424985
316,2016582,2053111,1700629,1322803
317,2002709,2067835,1727078,1301431
318,2148380,2219901,1732466,1375509
319,1991753,2043366,1755806,1356296
320,2033107,2076331,1719529,1339232
321,2196345,2258817,1767530,1410501
322,2003862,2032147,1688654,1318316
323,2178284,2239546,1871140,1453029
324,2134951,2198493,1758890,1403589
325,2029279,2082739,1746494,1345160
326,2085895,2144360,1747886,1392248
327,1994537,2035782,1810395,1342916
328,2120311,2176928,1718450,1373745
329,2105420,2207733,1809123,1446766
330,2093756,2142788,1778774,1383896
331,2180828,2256729,1774082,1417209
332,2034511,2072455,1718425,1317391
333,2061631,2129588,1762574,1388133
334,2137892,2187440,1712726,1346132
335,2212089,2253778,1729670,1404153
336,2102936,2179413,1754054,1397961
337,2119700,2198600,1754882,1390040
338,2095987,2175716,1794147,1572504
339,2068831,2102839,1758879,1353393
340,2035554,2070823,1689098,1314356
341,2014650,2060022,1751726,1357988
342,1989210,2073967,1862452,1456990
343,1912493,1961754,1772582,1354556
344,2121019,2195781,1786335,1429654
345,2092399,2153372,1739462,1358216
346,1979610,2020591,1723622,1320032
347,2030922,2073006,1764446,1360772
348,2111492,2100823,1757139,1318736
349,2013415,2051443,1744646,1380764
350,2187200,2233353,1773638,1373324
351,2139668,2181897,1706618,1342640
352,1968245,2009297,1745054,1327531
353,2214981,2278713,1781091,1411113
354,1964069,1999025,1746434,1336784
355,2130367,2180288,1732634,1380669
356,2232358,2320295,1773411,1416177
357,1877644,1890352,1736438,1334911
358,2023482,2118211,1870612,1438509
359,2041254,2082823,1808847,1364648
360,2028774,2075539,1760114,1345712
361,2113376,2151728,1701649,1365644
362,2113039,2151476,1766715,1357701
363,2222349,2358155,1782614,1432545
364,1959509,1960889,1733150,1284283
365,2078334,2067631,1751439,1353872
366,2119771,2189697,1772427,1412001
367,2102011,2161737,1734866,1366016
368,2042911,2105480,1774959,1406085
369,2013894,2040367,1745150,1317668
370,2096047,2125075,1684657,1323175
371,1960301,1984193,1692589,1285675
372,1982730,2021442,1717826,1340696
373,2086999,2135144,1774154,1369328
374,2070535,2138324,1722662,1365692
375,2274802,2384855,1881700,1511507
376,2137916,2187885,1756922,1366808
377,2145836,2248714,1858503,1473346
378,1984517,2058931,1815135,1432653
379,2095771,2160417,1762874,1354796
380,2210169,2288554,1753730,1379768
381,2126107,2160200,1702237,1346036
382,1977665,2049655,1741394,1382564
383,2055930,2105923,1765082,1551347
384,2094799,2147264,1717718,1336604
385,2128592,2178224,1725482,1386549
386,1974306,1993062,1695986,1296559
387,2188664,2275942,1766055,1437538
388,2188737,2259994,1821879,1417185
389,2137340,2243409,1801899,1436410
390,2144888,2214717,1807395,1419825
391,2130668,2198865,1823751,1417714
392,2417448,2519546,1928501,1533035
393,2321446,2399244,1765491,1430554
394,2143760,2210793,1763390,1405461
395,1968918,1992378,1742486,1337000
396,2217057,2273998,1738298,1395321
397,2024754,2061691,1735526,1363676
398,1974594,2015046,1746914,1326439
399,2110088,2154092,1724990,1348976
400,2134448,2209461,1830867,1434826
401,2475265,2631363,1905040,1550231
402,2086531,2127067,1736162,1351004
403,2241129,2363759,1901704,1520123
404,2257282,2293151,1794675,1420678
405,2118188,2158485,1693777,1330268
406,2243122,2356488,1868992,1494839
407,2006766,2051922,1731698,1363929
408,2022774,2070126,1737938,1332416
409,2137088,2199884,1732406,1370769
410,2028654,2115056,1788159,1422958
411,2057527,2124008,1772439,1410225
412,2190656,2256166,1785087,1394805
413,2105816,2147036,1715822,1339928
414,2014926,2022990,1721365,1323428
415,2080147,2137148,1731866,1369893
416,2103655,2183169,1775739,1387881
417,2175104,2234793,1796486,1395981
418,2221437,2323966,1865548,1477762
419,2101015,2155400,1780479,1406361
420,2162852,2233257,1771647,1400745
421,1998593,2027742,1744706,1332368
422,2353163,2468713,1842711,1447149
423,2276098,2348267,1779098,1427517
424,2231110,2243290,1743362,1413597
425,2025475,2083639,1790318,1373445
426,1984674,2009190,1734601,1314656
427,2154920,2203845,1760990,1369880
428,2139980,2199573,1777023,1387929
429,2175944,2261266,1814175,1439529
430,2221317,2316767,1813143,1434417
431,2110087,2175968,1756310,1382613
432,2033251,2082271,1730270,1374273
433,1943549,1982561,1765238,1321759
434,2110603,2168084,1742078,1356284
435,2161376,2216937,1727486,1357724
436,2119447,2180588,1752806,1383956
437,2127043,2195661,1771827,1398165
438,2034054,2082511,1768286,1344620
439,2055199,2096936,1744694,1349516
440,2187728,2289202,1778595,1416969
441,2132144,2171360,1691414,1341764
442,2068206,2128916,1798371,1395428
443,2395860,2515562,1846588,1507799
444,2129792,2175452,1830159,1456953
445,2170208,2243505,1760318,1385072
446,1968857,2027503,1757558,1350680
447,2196561,2325299,2028979,1527059
448,2216673,2290882,1808067,1440958
449,2087707,2174133,1801815,1417293
450,2116016,2177624,1732958,1374417
451,2037859,2073343,1751954,1327412
452,2208765,2286622,1764494,1402581
453,2109847,2154212,1759371,1368980
454,2064943,2131940,1772450,1395273
455,2213709,2273926,1797998,1425585
456,1987710,2019954,1716853,1322504
457,1908173,1960830,1776987,1335608
458,2083855,2121727,1731541,1355540
459,1995845,2013906,1729405,1287307
460,2039515,2084144,1740182,1341608
461,2034571,2092051,1767398,1410369
462,2032290,2098711,1757558,1364048
463,2065819,2100116,1714154,1345040
464,2252085,2322863,1848064,1448950
465,2109440,2177721,1780395,1393977
466,2042862,2109007,1767003,1397924
467,2058006,2111647,1734386,1349684
468,2053206,2092135,1719721,1334456
469,2367647,2489617,1863784,1544123
470,2171528,2281630,1800987,1451253
471,2154296,2145152,1967441,1336676
472,2524130,2487313,1919645,1500010
473,2074279,2056074,1682881,1312327
474,2246518,2205417,1788626,1378749
475,2302666,2402520,1796619,1468738
476,2102899,2156300,1788807,1413453
477,2027887,2062687,1735250,1364636
478,2166128,2237182,1790979,1411065
479,2193285,2240086,1719626,1337708
480,2048658,2101999,1707722,1331371
481,2142812,2244142,1822095,1438245
482,1945385,1980186,1747598,1331684
483,2168000,2243781,1756490,1403145
484,2115031,2152904,1778535,1368861
485,1990578,2023099,1724798,1313432
486,2145152,2215893,1757666,1391661
487,2091619,2165288,1750622,1360317
488,2170808,2252962,1801383,1405221
489,2009442,2076643,1804551,1400589
490,1977305,2005338,1734038,1339856
491,1986305,2020218,1701254,1296524
492,2185569,2300267,1847668,1472734
493,2057407,2114239,1772078,1373708
494,2150636,2187980,1710037,1356800
495,2041650,2094583,1760870,1354724
496,2151380,2199609,1713302,1351149
497,2212257,2299306,1845159,1469086
498,2072767,2131183,1701541,1364276
499,1946321,1981086,1730030,1331036
500,2195361,2270146,1796018,1435617
501,2087515,2110820,1747466,1320356
502,2105083,2154788,1721953,1364216
503,2113195,2183948,1754234,1377848
504,2164053,2223273,1785375,1397361
505,2213769,2259046,1764303,1411797
506,1996937,2043270,1730678,1348952
507,2084383,2141432,1736882,1373457
508,2010510,2079535,1766150,1363820
509,2009070,2034210,1705538,1300075
510,2136884,2239737,1788507,1410921
511,2023854,2084647,1746782,1362693
512,2269486,2348399,1805631,1448506
513,2192385,2261589,1819671,1422561
514,2206773,2254786,1792790,1384461
515,2109895,2186625,1756694,1377680
516,2065291,2081359,1719674,1339952
517,2225157,2298370,1820079,1437381
518,1964261,1997058,1707530,1338500
519,2028690,2062302,1727246,1328972
520,2241550,2412600,1900816,1563323
521,2081120,2153612,1796751,1400073
522,2163633,2236282,1764662,1391469
523,2256286,2373012,1769451,1380513
524,2146700,2227701,1811835,1417761
525,2051647,2144492,1802055,1367120
526,1937861,2010690,1783970,1390533
527,2440140,2569154,1880308,1521695
528,2467921,2588030,1833147,1466506
529,2001774,2033407,1769331,1320392
530,2239162,2340431,1775234,1423617
531,1902052,1932305,1718354,1298575
532,2118128,2165228,1798299,1359080
533,2225073,2277886,1747790,1401033
534,1931561,1972445,1725878,1317523
535,2265573,2355263,1766042,1412841
536,2099371,2153564,1769534,1374416
537,2174229,2251113,1755110,1402749
538,2014902,2051371,1690489,1326188
539,2084179,2119627,1726478,1313948
540,2165865,2227989,1924253,1403841
541,2138948,2171301,1803783,1340984
542,2064931,2089099,1691941,1332655
543,1983233,2032674,1757930,1345916
