trial,original_ns,tco_ns,method2_ns,iterative_ns
200,1086087,1134131,1321381,982176
201,1289036,1336881,1169670,815334
202,1238421,1276555,1014997,684080
203,982373,956968,919710,686162
204,1089557,1010288,892435,681207
205,966921,958388,873480,1176451
206,1020539,1034326,947528,729348
207,1045496,1050484,1643816,844786
208,964326,1046489,895105,742984
209,982138,1035309,892585,724413
210,1008344,1500257,1186194,784845
211,1134718,1186223,1176302,807421
212,1035789,1110766,1185582,776046
213,1192907,1222210,1126506,844701
214,1203758,1958272,1091800,698272
215,959606,1004201,873896,678473
216,938056,937650,875125,658846
217,996010,1010576,893834,686077
218,1072963,1123815,894400,700194
219,1025388,916751,888058,680523
220,1000634,1327088,910237,727147
221,1049704,1039783,905805,711653
222,958442,972826,860175,680651
223,1002257,1048390,904534,884544
224,2079560,1708144,1189213,844177
225,1122534,956769,1073979,792569
226,1096950,1082254,1171186,691336
227,1292993,1182305,1512574,959594
228,940340,939956,919063,681156
229,995823,1004992,966601,780908
230,1037206,1079144,1063894,992873
231,1323238,1214145,1144010,834155
232,1199056,1236467,1141752,823069
233,1092040,1100357,1125767,830917
234,1140452,1207767,1118280,731793
235,939137,931693,905719,691773
236,973087,952011,934462,714115
237,1057483,1064778,1124872,855613
238,1177459,1127854,1164850,831556
239,1098653,1134010,1009668,819002
240,1151155,1157907,1077856,781271
241,1123594,1143456,1127791,824389
242,940905,969678,877487,720697
243,974994,1010925,946932,711602
244,939946,971926,907273,702411
245,900469,1040657,1116300,787958
246,1195946,1261333,1154648,810578
247,1033618,1148759,1090134,806169
248,1165936,1092552,1190036,825263
249,1121837,1090315,1342375,687226
250,1067813,1306146,1015673,716597
251,1019731,1049167,920522,853068
252,1021445,1080198,898882,763593
253,947304,988475,917987,725861
254,994439,1026099,901065,697310
255,953418,996409,917625,823868
256,1070955,1267914,1230929,814964
257,1163785,1137076,1119537,829161
258,1085384,1181921,1242442,838116
259,1145436,1105480,1021775,819832
260,1260969,1221710,1084266,693552
261,981649,1026621,962522,740397
262,994662,1041393,908445,736096
263,990115,987229,902631,695319
264,967208,973886,918189,709855
265,978348,1024481,958060,723700
266,944930,970829,901875,700485
267,956932,978262,941192,815167
268,1190611,1237160,1226531,849266
269,1163944,1084468,928093,817169
270,1147109,1132967,1133893,775584
271,1196553,1568707,1157193,811812
272,1137226,1166384,1221025,848702
273,1071561,1049347,914962,680687
274,980776,1001297,925697,706458
275,941586,943141,928551,702348
276,951032,959210,1014683,700804
277,947230,972533,915229,668558
278,1051009,1055726,946347,705543
279,1293239,1583185,1149845,954601
280,1214050,1193593,1082573,691762
281,1089133,1122284,1100751,1269643
282,1179036,1005930,922513,701283
283,1327205,1192624,919180,691890
284,967591,971255,877498,672668
285,997676,1017005,872216,703093
286,970457,1002863,909542,744658
287,988645,966346,864367,685053
288,1059379,1106385,914515,765882
289,968731,992629,905229,698621
290,954099,1092872,1239598,848340
291,2723823,1273953,1173498,842813
292,1094798,1116863,955388,734903
293,1117631,1116289,1065523,804486
294,937252,1011414,969114,920873
